,mean_visit_duration,median_visit_duration,std_visit_duration
CHICKEN - 31cm Sans Oignons  ID8,56.38172553261043,55.793622302919786,35.416836884124976
CHICKEN - 31cm Sans Poivrons  ID8,56.38172553261043,55.793622302919786,35.416836884124976
CHICKEN - 31cm Sans Poulet  ID8,56.38172553261043,55.793622302919786,35.416836884124976
CHICKEN - 31cm Saumon - 31 cm  ID8,54.64099454829343,54.798605825069856,35.500929897140985
CHICKEN - 31cm  - tomates fraîches  ID8,54.64099454829343,54.798605825069856,34.3054053814371
INDIENNE - 26cm Anchois - 26 cm  ID9,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 26cm Artichaut - 26 cm  ID9,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 26cm  - bœuf épicé  ID9,54.34943451284396,55.24769889085029,33.71675953849777
INDIENNE - 26cm  - câpres  ID9,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 26cm  - champignons frais  ID9,54.34943451284396,55.24769889085029,33.71675953849777
INDIENNE - 26cm  - chorizo  ID9,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 26cm  - crème fraîche  ID9,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 26cm  - double mozzarella  ID9,54.34943451284396,55.24769889085029,33.71675953849777
INDIENNE - 26cm  - fromage de chèvre  ID9,54.34943451284396,55.24769889085029,33.71675953849777
INDIENNE - 26cm  - jambon  ID9,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 26cm  - lardons fumés  ID9,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 26cm  - merguez  ID9,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 26cm Miel - 26 cm  ID9,56.144128848480825,55.79515452554887,34.669134413776106
INDIENNE - 26cm Noix - 26 cm  ID9,56.144128848480825,55.79515452554887,34.669134413776106
INDIENNE - 26cm Oeuf - 26 cm  ID9,56.144128848480825,55.79515452554887,34.669134413776106
INDIENNE - 26cm  - œuf  ID9,56.144128848480825,55.79515452554887,34.669134413776106
INDIENNE - 26cm  - oignons  ID9,54.34943451284396,55.24769889085029,33.71675953849777
INDIENNE - 26cm Olives 26  ID9,54.34943451284396,55.24769889085029,33.71675953849777
INDIENNE - 26cm  - pepperoni  ID9,56.144128848480825,55.79515452554887,34.669134413776106
INDIENNE - 26cm  - poivrons  ID9,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 26cm  - pommes de terre  ID9,54.34943451284396,55.24769889085029,33.71675953849777
INDIENNE - 26cm  - poulet  ID9,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 26cm Reblochon - 26 cm  ID9,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 26cm Roquefort - 26 cm  ID9,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 26cm Sans Ananas  ID9,54.34943451284396,55.24769889085029,33.71675953849777
INDIENNE - 26cm Sans Crème Fraîche  ID9,54.67796820532271,54.982710376773326,34.3054053814371
INDIENNE - 26cm Sans Curry  ID9,54.67796820532271,54.982710376773326,34.3054053814371
INDIENNE - 26cm Sans Mozzarella  ID9,54.34943451284396,55.24769889085029,33.71675953849777
INDIENNE - 26cm Sans Poulet  ID9,54.67796820532271,54.982710376773326,34.3054053814371
INDIENNE - 26cm Saumon - 26 cm  ID9,53.451102881826316,55.02249660977046,33.71675953849777
INDIENNE - 26cm  - tomates fraîches  ID9,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 31cm Ananas - 31 cm  ID10,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 31cm Anchois - 31 cm  ID10,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 31cm Banane - 31 cm  ID10,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 31cm  - bœuf épicé  ID10,54.34943451284396,55.24769889085029,33.71675953849777
INDIENNE - 31cm  - câpres  ID10,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 31cm  - champignons frais  ID10,54.34943451284396,55.24769889085029,33.71675953849777
INDIENNE - 31cm  - chorizo  ID10,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 31cm  - crème fraîche  ID10,55.126964947517635,55.33801530319565,34.712636545915636
INDIENNE - 31cm  - double mozzarella  ID10,54.34943451284396,55.24769889085029,33.71675953849777
INDIENNE - 31cm  - fromage de chèvre  ID10,54.34943451284396,55.24769889085029,33.71675953849777
INDIENNE - 31cm  - jambon  ID10,55.126964947517635,55.33801530319565,34.712636545915636
