ID,ProductID,Name,ProductGroupID,Name,GrossPrice,NetPrice,GuidedActivityID,WorkingOrder
119,119,Supplément brisures de noisettes_201709,47,GA Toppings_glaces_201709,0.00000,1.00,NULL,4
120,120,Supplément compote de pomme   _201709,47,GA Toppings_glaces_201709,0.00000,1.00,NULL,4
121,121,Supplément Nutella_201709,47,GA Toppings_glaces_201709,0.00000,1.00,NULL,4
122,122,Supplément crème de marron_201709,47,GA Toppings_glaces_201709,0.00000,1.00,NULL,4
123,123,Sans ananas_201709,47,GA Toppings_glaces_201709,0.00000,0.00,NULL,4
124,124,Supplément ananas_201709,47,GA Toppings_glaces_201709,0.00000,1.00,NULL,4
125,125,Sans banane_201709,47,GA Toppings_glaces_201709,0.00000,0.00,NULL,4
126,126,Supplément banane_201709,47,GA Toppings_glaces_201709,0.00000,1.00,NULL,4
127,127,Sans raisins secs_201709,47,GA Toppings_glaces_201709,0.00000,0.00,NULL,4
128,128,Supplément raisins secs _201709,47,GA Toppings_glaces_201709,0.00000,1.00,NULL,4
129,129,HOTEL CALIFORNIA_201709,19,Coupes glacées_201709,0.00000,6.00,NULL,4
129,129,HOTEL CALIFORNIA_201709,54,GA Desserts_201709,0.00000,6.00,NULL,4
130,130,CAFE LIEGEOIS_201709,19,Coupes glacées_201709,0.00000,6.00,NULL,4
130,130,CAFE LIEGEOIS_201709,54,GA Desserts_201709,0.00000,6.00,NULL,4
131,131,CHOCOLAT LIEGEOIS_201709,19,Coupes glacées_201709,0.00000,6.00,NULL,4
